Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/03/20,GT,Guatemala,AMRO,0,0,0,0
1/04/20,GT,Guatemala,AMRO,0,0,0,0
1/05/20,GT,Guatemala,AMRO,0,0,0,0
1/06/20,GT,Guatemala,AMRO,0,0,0,0
1/07/20,GT,Guatemala,AMRO,0,0,0,0
1/08/20,GT,Guatemala,AMRO,0,0,0,0
1/09/20,GT,Guatemala,AMRO,0,0,0,0
1/10/20,GT,Guatemala,AMRO,0,0,0,0
1/11/20,GT,Guatemala,AMRO,0,0,0,0
1/12/20,GT,Guatemala,AMRO,0,0,0,0
1/13/2020,GT,Guatemala,AMRO,0,0,0,0
1/14/2020,GT,Guatemala,AMRO,0,0,0,0
1/15/2020,GT,Guatemala,AMRO,0,0,0,0
1/16/2020,GT,Guatemala,AMRO,0,0,0,0
1/17/2020,GT,Guatemala,AMRO,0,0,0,0
1/18/2020,GT,Guatemala,AMRO,0,0,0,0
1/19/2020,GT,Guatemala,AMRO,0,0,0,0
1/20/2020,GT,Guatemala,AMRO,0,0,0,0
1/21/2020,GT,Guatemala,AMRO,0,0,0,0
1/22/2020,GT,Guatemala,AMRO,0,0,0,0
1/23/2020,GT,Guatemala,AMRO,0,0,0,0
1/24/2020,GT,Guatemala,AMRO,0,0,0,0
1/25/2020,GT,Guatemala,AMRO,0,0,0,0
1/26/2020,GT,Guatemala,AMRO,0,0,0,0
1/27/2020,GT,Guatemala,AMRO,0,0,0,0
1/28/2020,GT,Guatemala,AMRO,0,0,0,0
1/29/2020,GT,Guatemala,AMRO,0,0,0,0
1/30/2020,GT,Guatemala,AMRO,0,0,0,0
1/31/2020,GT,Guatemala,AMRO,0,0,0,0
2/01/20,GT,Guatemala,AMRO,0,0,0,0
2/02/20,GT,Guatemala,AMRO,0,0,0,0
2/03/20,GT,Guatemala,AMRO,0,0,0,0
2/04/20,GT,Guatemala,AMRO,0,0,0,0
2/05/20,GT,Guatemala,AMRO,0,0,0,0
2/06/20,GT,Guatemala,AMRO,0,0,0,0
2/07/20,GT,Guatemala,AMRO,0,0,0,0
2/08/20,GT,Guatemala,AMRO,0,0,0,0
2/09/20,GT,Guatemala,AMRO,0,0,0,0
2/10/20,GT,Guatemala,AMRO,0,0,0,0
2/11/20,GT,Guatemala,AMRO,0,0,0,0
2/12/20,GT,Guatemala,AMRO,0,0,0,0
2/13/2020,GT,Guatemala,AMRO,0,0,0,0
2/14/2020,GT,Guatemala,AMRO,0,0,0,0
2/15/2020,GT,Guatemala,AMRO,0,0,0,0
2/16/2020,GT,Guatemala,AMRO,0,0,0,0
2/17/2020,GT,Guatemala,AMRO,0,0,0,0
2/18/2020,GT,Guatemala,AMRO,0,0,0,0
2/19/2020,GT,Guatemala,AMRO,0,0,0,0
2/20/2020,GT,Guatemala,AMRO,0,0,0,0
2/21/2020,GT,Guatemala,AMRO,0,0,0,0
2/22/2020,GT,Guatemala,AMRO,0,0,0,0
2/23/2020,GT,Guatemala,AMRO,0,0,0,0
2/24/2020,GT,Guatemala,AMRO,0,0,0,0
2/25/2020,GT,Guatemala,AMRO,0,0,0,0
2/26/2020,GT,Guatemala,AMRO,0,0,0,0
2/27/2020,GT,Guatemala,AMRO,0,0,0,0
2/28/2020,GT,Guatemala,AMRO,0,0,0,0
2/29/2020,GT,Guatemala,AMRO,0,0,0,0
3/01/20,GT,Guatemala,AMRO,0,0,0,0
3/02/20,GT,Guatemala,AMRO,0,0,0,0
3/03/20,GT,Guatemala,AMRO,0,0,0,0
3/04/20,GT,Guatemala,AMRO,0,0,0,0
3/05/20,GT,Guatemala,AMRO,0,0,0,0
3/06/20,GT,Guatemala,AMRO,0,0,0,0
3/07/20,GT,Guatemala,AMRO,0,0,0,0
3/08/20,GT,Guatemala,AMRO,0,0,0,0
3/09/20,GT,Guatemala,AMRO,0,0,0,0
3/10/20,GT,Guatemala,AMRO,0,0,0,0
3/11/20,GT,Guatemala,AMRO,0,0,0,0
3/12/20,GT,Guatemala,AMRO,0,0,0,0
3/13/2020,GT,Guatemala,AMRO,0,0,0,0
3/14/2020,GT,Guatemala,AMRO,0,0,0,0
3/15/2020,GT,Guatemala,AMRO,1,1,0,0
3/16/2020,GT,Guatemala,AMRO,0,1,0,0
3/17/2020,GT,Guatemala,AMRO,0,1,0,0
3/18/2020,GT,Guatemala,AMRO,5,6,1,1
3/19/2020,GT,Guatemala,AMRO,0,6,0,1
